RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq%,MSinceMostRecentInqexcl7days%,PercentBadTrades,RegularDelqFlag,HigherUtilizationDelqRisk
Good,85,404,4,80,43,,100,Unknown,7,8,44,3,28,LastYear,unknown,3,7,2,0,63,0.21739130434782608,2.380952380952381,3,0,0
Good,82,34,5,26,4,,100,Unknown,7,8,4,1,50,InLast6Months,unknown,0,0,1,0,50,0.21739130434782608,0.6896551724137931,0,0,0
Bad,54,136,4,62,28,Never,93,InLast6Months,4,5,30,3,28,InLast6Months,noInqueryMade,64,8,2,3,73,0.7575757575757576,0.6896551724137931,7,0,1
Bad,73,60,6,37,13,,100,Unknown,7,8,13,1,31,Never,unknown,23,3,1,1,63,0.21739130434782608,0.23201856148491878,0,0,0
Good,66,147,4,68,37,3-5,90,2years+,6,2,42,3,43,InLastMonth,noInqueryMade,65,10,2,2,87,0.6172839506172839,1.8181818181818181,12,0,1
Good,76,305,2,75,47,,100,Unknown,7,8,51,6,32,Unknown,unknown,15,6,3,1,59,0.21739130434782608,0.4273504273504274,8,0,0
Bad,72,252,1,80,48,,100,Unknown,7,8,50,4,20,Never,OneOrTwo,17,5,2,1,44,0.21739130434782608,0.23201856148491878,4,0,0
Bad,66,99,7,51,27,OnceOrTwice,85,2years+,6,6,29,3,15,Never,unknown,36,10,1,1,63,0.6172839506172839,0.23201856148491878,7,1,0
Good,80,194,21,97,18,,100,Unknown,7,8,18,0,22,LastYear,unknown,34,7,None,1,73,0.21739130434782608,2.380952380952381,0,0,0
Bad,57,162,6,66,25,Never,80,InLast6Months,4,5,31,1,40,Never,noInqueryMade,47,6,2,1,82,0.7575757575757576,0.23201856148491878,20,1,0
Bad,65,177,17,96,6,,43,InLast6Months,4,6,7,0,57,Unknown,noInqueryMade,31,1,1,0,100,0.7575757575757576,0.4273504273504274,15,1,0
Bad,78,154,7,90,15,,93,2years+,6,6,15,1,20,6-12months,unknown,39,7,1,1,90,0.6172839506172839,2.7027027027027026,0,0,0
Good,91,344,25,145,16,,100,Unknown,7,8,16,0,38,InLast6Months,unknown,2,3,unknown,0,38,0.21739130434782608,0.6896551724137931,0,0,0
Bad,60,194,3,73,19,OnceOrTwice,84,2years+,0,6,0,3,42,6-12months,unknown,22,1,1,0,33,0.6172839506172839,2.7027027027027026,0,1,0
Good,84,312,25,111,19,,100,Unknown,7,8,20,0,32,6-12months,noInqueryMade,49,3,1,0,60,0.21739130434782608,2.7027027027027026,5,0,0
Bad,71,152,4,68,36,,100,Unknown,7,8,38,4,44,InLast6Months,OneOrTwo,57,6,2,1,82,0.21739130434782608,0.6896551724137931,6,0,1
Good,70,320,4,65,31,,100,Unknown,7,8,28,4,29,Unknown,UpTo5,32,4,2,1,47,0.21739130434782608,0.4273504273504274,-10,0,0
Good,54,123,4,58,36,Never,92,InLast6Months,4,5,40,4,56,Unknown,noInqueryMade,50,4,3,1,73,0.7575757575757576,0.4273504273504274,10,0,0
Good,88,194,25,95,12,,100,Unknown,7,8,15,0,53,Unknown,unknown,3,1,None,0,50,0.21739130434782608,0.4273504273504274,20,0,0
Good,73,138,2,80,39,,100,Unknown,7,8,12,5,28,Never,OneOrTwo,28,6,4,2,69,0.21739130434782608,0.23201856148491878,-225,0,0
Bad,54,113,2,36,37,,97,6-12months,4,6,38,6,50,Never,UpTo10,59,4,4,1,69,1.5625,0.23201856148491878,3,0,1
Good,90,177,14,74,13,,100,Unknown,7,8,13,0,31,Unknown,unknown,6,1,None,0,29,0.21739130434782608,0.4273504273504274,0,0,0
Bad,63,222,6,52,24,,92,2years+,6,6,26,5,58,Never,UpTo5,86,8,4,4,100,0.6172839506172839,0.23201856148491878,8,0,1
Good,79,120,2,43,13,,100,Unknown,7,8,14,5,7,InLast6Months,OneOrTwo,15,4,unknown,0,44,0.21739130434782608,0.6896551724137931,8,0,0
Good,76,232,3,81,20,,100,Unknown,7,8,20,3,35,Never,noInqueryMade,46,4,4,3,75,0.21739130434782608,0.23201856148491878,0,0,0
Bad,64,107,6,38,10,OnceOrTwice,83,2years+,6,2,12,4,25,Never,noInqueryMade,42,4,1,1,75,0.6172839506172839,0.23201856148491878,17,1,0
Good,82,73,12,57,8,,100,Unknown,7,8,8,0,25,Never,noInqueryMade,4,2,None,1,60,0.21739130434782608,0.23201856148491878,0,0,0
Good,70,126,5,49,49,,100,Unknown,7,8,49,6,29,InLastMonth,OneOrTwo,46,6,2,2,56,0.21739130434782608,1.8181818181818181,0,0,0
Bad,62,165,7,71,28,Never,86,LastYear,6,6,29,3,41,Unknown,UpTo5,39,4,1,0,60,1.0869565217391304,0.4273504273504274,4,1,0
Bad,66,101,5,73,31,,100,Unknown,7,8,20,1,10,Unknown,UpTo5,72,10,None,5,75,0.21739130434782608,0.4273504273504274,-55,0,1
Bad,70,139,17,58,19,,100,Unknown,7,8,19,0,37,InLastMonth,UpTo5,63,3,2,1,86,0.21739130434782608,1.8181818181818181,0,0,1
Bad,58,163,6,101,20,OnceOrTwice,71,LastYear,6,5,24,2,29,InLast6Months,UpTo5,86,5,unknown,2,67,1.0869565217391304,0.6896551724137931,17,1,1
Bad,74,210,4,80,10,,100,Unknown,7,8,10,1,40,Unknown,UpTo5,87,4,2,3,100,0.21739130434782608,0.4273504273504274,0,0,1
Good,78,194,9,74,41,,100,Unknown,7,8,44,2,37,Unknown,unknown,35,3,3,1,88,0.21739130434782608,0.4273504273504274,7,0,0
Bad,73,131,2,48,27,,100,Unknown,7,8,30,4,37,Never,OneOrTwo,38,7,1,2,53,0.21739130434782608,0.23201856148491878,10,0,0
Bad,56,135,12,74,34,Never,91,InLast6Months,4,5,35,0,20,Never,UpTo10,55,8,2,3,61,0.7575757575757576,0.23201856148491878,3,0,1
Good,65,256,25,150,23,Never,85,InLast6Months,4,4,27,0,52,InLast6Months,unknown,75,4,2,1,88,0.7575757575757576,0.6896551724137931,15,1,1
Bad,70,163,3,65,37,,97,InLast6Months,4,6,39,2,36,InLastMonth,UpTo10,5,4,1,0,47,0.7575757575757576,1.8181818181818181,6,0,0
Bad,64,157,3,66,38,,95,LastYear,6,6,42,4,45,InLastMonth,OneOrTwo,32,3,2,1,75,1.0869565217391304,1.8181818181818181,10,0,0
Bad,73,216,1,72,41,,100,Unknown,7,8,42,4,24,Never,UpTo10,25,3,3,0,50,0.21739130434782608,0.23201856148491878,3,0,0
Bad,64,110,2,58,42,Never,89,LastYear,6,5,46,4,4,InLast6Months,UpTo5,30,10,None,1,74,1.0869565217391304,0.6896551724137931,9,1,0
Bad,71,311,10,114,40,,100,Unknown,7,8,40,1,23,Never,OneOrTwo,28,10,3,4,59,0.21739130434782608,0.23201856148491878,0,0,0
Good,85,355,9,122,38,,97,Unknown,6,6,38,1,26,Unknown,unknown,1,7,None,0,44,0.21739130434782608,0.4273504273504274,0,0,0
Good,66,177,5,67,22,Never,100,Unknown,7,8,23,3,32,Never,noInqueryMade,66,5,1,2,80,0.21739130434782608,0.23201856148491878,5,0,1
Bad,73,74,25,48,3,,100,Unknown,7,8,3,0,80,Never,OneOrTwo,33,3,None,0,100,0.21739130434782608,0.23201856148491878,0,0,0
Bad,73,134,1,33,3,Never,86,2years+,6,3,7,3,29,Never,OneOrTwo,5,2,None,1,75,0.6172839506172839,0.23201856148491878,58,1,0
Bad,60,85,14,54,16,OnceOrTwice,68,LastYear,6,3,23,0,47,InLast6Months,noInqueryMade,23,3,2,2,50,1.0869565217391304,0.6896551724137931,31,1,0
Good,66,66,8,33,16,,94,InLast6Months,4,6,16,1,44,InLast6Months,noInqueryMade,22,2,1,0,57,0.7575757575757576,0.6896551724137931,0,0,0
Bad,71,183,3,96,11,Never,100,Unknown,7,8,13,2,0,Never,unknown,0,0,unknown,0,0,0.21739130434782608,0.23201856148491878,16,0,0
Good,87,171,6,141,40,,100,Unknown,7,8,55,2,39,InLast6Months,unknown,5,2,1,0,31,0.21739130434782608,0.6896551724137931,28,0,0
Bad,88,225,3,74,34,,100,Unknown,7,8,35,2,46,InLast6Months,noInqueryMade,6,4,3,0,73,0.21739130434782608,0.6896551724137931,3,0,0
Good,70,158,7,77,25,,96,LastYear,6,6,39,1,12,Unknown,OneOrTwo,15,8,None,1,67,1.0869565217391304,0.4273504273504274,36,0,0
Bad,66,100,5,56,13,OnceOrTwice,71,2years+,6,5,17,2,41,Never,UpTo5,39,2,1,1,57,0.6172839506172839,0.23201856148491878,24,1,0
Bad,72,166,0,47,18,,100,Unknown,7,8,19,3,68,Never,UpTo10,36,2,2,1,83,0.21739130434782608,0.23201856148491878,6,0,0
Bad,68,117,8,60,31,,100,Unknown,7,8,31,1,42,Never,OneOrTwo,68,6,5OrMore,1,100,0.21739130434782608,0.23201856148491878,0,0,1
Bad,63,161,5,45,37,,100,Unknown,7,8,39,6,18,Never,noInqueryMade,41,10,1,2,96,0.21739130434782608,0.23201856148491878,6,0,0
Bad,68,251,3,82,18,,100,Unknown,7,8,14,2,22,InLastMonth,UpTo5,82,7,None,1,89,0.21739130434782608,1.8181818181818181,-28,0,1
Good,75,131,1,72,53,Never,98,2years+,6,5,55,3,13,InLast6Months,unknown,4,4,1,0,38,0.6172839506172839,0.6896551724137931,4,0,0
Good,80,391,16,136,16,,100,Unknown,7,8,30,0,44,InLastMonth,noInqueryMade,12,3,2,1,67,0.21739130434782608,1.8181818181818181,47,0,0
Bad,75,152,1,66,21,,100,Unknown,7,8,22,3,36,Never,noInqueryMade,32,5,2,2,62,0.21739130434782608,0.23201856148491878,5,0,0
Good,72,352,4,114,26,,88,InLast6Months,4,6,22,2,15,LastYear,unknown,2,6,1,0,44,0.7575757575757576,2.380952380952381,-18,1,0
Good,75,301,25,150,9,OnceOrTwice,62,LastYear,6,4,13,0,46,Never,OneOrTwo,0,0,unknown,0,0,1.0869565217391304,0.23201856148491878,31,1,0
Good,84,170,1,66,19,,100,Unknown,7,8,22,2,15,Never,UpTo10,0,1,1,0,30,0.21739130434782608,0.23201856148491878,14,0,0
Bad,73,251,3,105,33,,85,2years+,6,6,33,3,24,Unknown,unknown,22,7,None,0,53,0.6172839506172839,0.4273504273504274,0,1,0
Bad,67,212,4,79,18,,100,Unknown,7,8,18,5,22,Never,OneOrTwo,81,7,None,5,82,0.21739130434782608,0.23201856148491878,0,0,1
Bad,72,132,2,65,25,,100,Unknown,7,8,26,3,42,InLast6Months,OneOrTwo,40,5,2,2,73,0.21739130434782608,0.6896551724137931,4,0,0
Bad,63,313,16,113,17,OnceOrTwice,70,LastYear,5,5,23,0,22,Never,noInqueryMade,61,7,None,1,82,1.0869565217391304,0.23201856148491878,27,1,1
Bad,68,217,9,58,32,,100,Unknown,7,8,28,3,6,Unknown,noInqueryMade,44,10,None,3,67,0.21739130434782608,0.4273504273504274,-14,0,0
Good,87,441,7,114,20,,100,Unknown,7,8,21,2,30,Unknown,OneOrTwo,3,2,None,1,33,0.21739130434782608,0.4273504273504274,5,0,0
Bad,88,438,9,122,20,,100,Unknown,7,8,20,1,50,Never,noInqueryMade,1,1,4,0,55,0.21739130434782608,0.23201856148491878,0,0,0
Good,76,172,2,74,18,,100,Unknown,7,8,19,1,11,Never,unknown,51,2,1,2,50,0.21739130434782608,0.23201856148491878,6,0,0
Good,80,228,2,61,46,,100,Unknown,7,8,49,6,29,Never,noInqueryMade,9,5,1,0,57,0.21739130434782608,0.23201856148491878,7,0,0
Good,67,256,4,67,23,,96,InLast6Months,4,6,23,4,39,Never,unknown,9,7,3,3,92,0.7575757575757576,0.23201856148491878,0,0,0
Bad,62,185,8,83,53,OnceOrTwice,92,2years+,5,2,55,4,73,Never,unknown,109,9,5OrMore,4,100,0.6172839506172839,0.23201856148491878,4,0,1
Good,72,304,6,83,27,,93,2years+,5,6,27,5,33,Never,OneOrTwo,34,6,2,1,69,0.6172839506172839,0.23201856148491878,0,0,0
Good,82,182,6,106,10,,100,Unknown,7,8,10,1,30,Never,unknown,65,2,1,0,80,0.21739130434782608,0.23201856148491878,0,0,1
Good,81,6,1,86,32,,100,Unknown,7,8,3,3,33,InLast6Months,noInqueryMade,18,5,1,1,47,0.21739130434782608,0.6896551724137931,-966,0,0
Bad,60,255,2,99,9,Never,50,InLast6Months,4,5,14,1,43,Never,noInqueryMade,64,4,3,2,80,0.7575757575757576,0.23201856148491878,36,1,1
Bad,66,165,13,55,15,OnceOrTwice,94,2years+,6,2,17,0,76,Never,UpTo5,86,1,2,1,80,0.6172839506172839,0.23201856148491878,12,0,1
Good,86,187,14,99,23,,100,Unknown,7,8,46,0,13,6-12months,unknown,2,2,1,0,80,0.21739130434782608,2.7027027027027026,50,0,0
Bad,80,164,25,104,20,,100,Unknown,7,8,21,0,5,InLast6Months,unknown,55,4,None,0,50,0.21739130434782608,0.6896551724137931,5,0,1
Good,81,147,11,90,9,Never,90,2years+,6,5,10,1,10,InLastMonth,OneOrTwo,0,2,unknown,0,29,0.6172839506172839,1.8181818181818181,10,0,0
Bad,61,119,5,60,8,Never,78,6-12months,4,3,9,1,67,Never,unknown,115,1,1,1,75,1.5625,0.23201856148491878,12,1,1
Good,87,195,25,150,20,,100,Unknown,7,8,21,0,29,Unknown,unknown,11,2,unknown,0,50,0.21739130434782608,0.4273504273504274,5,0,0
Bad,56,77,4,41,24,,92,InLast6Months,4,6,24,2,38,Never,UpTo5,57,9,2,2,86,0.7575757575757576,0.23201856148491878,0,0,1
Bad,65,20,1,9,8,,100,Unknown,7,8,9,6,22,InLast6Months,noInqueryMade,33,6,1,0,89,0.21739130434782608,0.6896551724137931,12,0,0
Good,73,121,9,64,33,,100,Unknown,6,8,34,4,35,Never,OneOrTwo,35,10,1,1,92,0.21739130434782608,0.23201856148491878,3,0,0
Bad,60,37,9,22,11,,100,Unknown,7,8,11,1,55,Unknown,UpTo10,112,3,None,0,100,0.21739130434782608,0.4273504273504274,0,0,1
Bad,75,235,6,85,15,,94,LastYear,6,6,16,1,38,Unknown,noInqueryMade,40,1,1,1,50,1.0869565217391304,0.4273504273504274,7,0,0
Good,70,117,7,68,22,,100,Unknown,7,8,26,1,23,Never,UpTo10,90,7,None,4,80,0.21739130434782608,0.23201856148491878,16,0,1
Bad,65,88,9,45,20,,85,InLastMonth,4,6,20,1,20,Never,unknown,14,4,1,1,50,3.7037037037037033,0.23201856148491878,0,1,0
Bad,89,450,25,150,8,,100,Unknown,7,8,15,0,0,Unknown,unknown,33,3,unknown,0,65,0.21739130434782608,0.4273504273504274,47,0,0
Bad,68,176,8,96,22,,95,6-12months,4,6,22,1,27,Never,unknown,62,2,5OrMore,1,89,1.5625,0.23201856148491878,0,0,1
Good,73,261,4,66,31,,100,Unknown,7,8,31,6,16,Never,OneOrTwo,18,7,1,1,53,0.21739130434782608,0.23201856148491878,0,0,0
Bad,55,324,9,119,32,Never,94,InLastMonth,4,5,36,1,44,Never,unknown,64,9,4,3,83,3.7037037037037033,0.23201856148491878,12,0,1
Bad,62,295,21,124,10,OnceOrTwice,64,LastYear,6,2,14,0,36,LastYear,unknown,38,3,2,0,86,1.0869565217391304,2.380952380952381,29,1,0
Bad,63,278,19,89,37,,95,InLast6Months,4,6,38,0,24,Never,OneOrTwo,30,10,None,3,86,0.7575757575757576,0.23201856148491878,3,0,0
Good,88,184,8,85,22,,100,Unknown,6,7,22,1,41,InLast6Months,noInqueryMade,10,1,1,0,60,0.21739130434782608,0.6896551724137931,0,0,0
Bad,59,102,3,44,32,Never,82,InLast6Months,4,5,33,4,39,Never,noInqueryMade,43,5,3,0,90,0.7575757575757576,0.23201856148491878,4,1,0
Bad,56,194,18,70,20,Never,95,InLast6Months,0,6,0,0,15,Unknown,UpTo5,68,3,1,2,71,0.7575757575757576,0.4273504273504274,4,0,1
Bad,63,78,1,35,5,,83,InLast6Months,4,6,6,1,67,Never,OneOrTwo,33,1,1,1,100,0.7575757575757576,0.23201856148491878,17,1,0
Good,75,130,1,61,20,,100,Unknown,7,8,21,3,19,Never,unknown,57,3,2,2,43,0.21739130434782608,0.23201856148491878,5,0,1
Bad,66,173,5,89,2,,50,2years+,6,6,2,1,50,Never,Over10,66,1,None,0,100,0.6172839506172839,0.23201856148491878,0,1,1
Bad,74,212,4,32,22,,100,Unknown,7,8,22,4,41,InLast6Months,unknown,38,5,4,2,77,0.21739130434782608,0.6896551724137931,0,0,0
Bad,56,57,16,30,6,3-5,67,InLast6Months,0,2,9,0,80,Never,noInqueryMade,0,1,1,0,100,0.7575757575757576,0.23201856148491878,34,1,0
Bad,68,82,6,25,5,,100,Unknown,7,8,5,3,0,InLastMonth,noInqueryMade,88,3,unknown,1,100,0.21739130434782608,1.8181818181818181,0,0,1
Good,67,143,2,49,11,,83,InLast6Months,4,6,12,2,25,Never,UpTo5,53,2,None,1,43,0.7575757575757576,0.23201856148491878,9,1,0
Bad,94,203,12,125,9,,100,Unknown,7,8,9,0,11,Never,unknown,0,0,None,0,25,0.21739130434782608,0.23201856148491878,0,0,0
Good,62,450,25,150,19,,71,InLast6Months,4,6,21,0,10,Unknown,unknown,63,10,unknown,5,88,0.7575757575757576,0.4273504273504274,10,1,1
Bad,67,260,7,73,15,,81,InLast6Months,4,6,16,2,44,Unknown,noInqueryMade,44,4,None,0,100,0.7575757575757576,0.4273504273504274,7,1,0
Bad,73,153,0,75,17,,100,Unknown,7,8,18,4,33,Never,OneOrTwo,87,2,1,1,57,0.21739130434782608,0.23201856148491878,6,0,1
Bad,81,179,16,99,16,,100,Unknown,7,8,19,0,26,Never,unknown,26,2,None,1,60,0.21739130434782608,0.23201856148491878,16,0,0
Good,84,157,3,74,35,,100,Unknown,7,8,35,3,11,Unknown,OneOrTwo,2,1,2,0,44,0.21739130434782608,0.4273504273504274,0,0,0
Bad,64,175,20,115,13,OnceOrTwice,56,2years+,6,5,16,0,19,LastYear,unknown,85,9,None,5,91,0.6172839506172839,2.380952380952381,19,1,1
Good,66,167,4,105,19,OnceOrTwice,77,6-12months,1,3,23,2,23,6-12months,unknown,4,1,1,0,50,1.5625,2.7027027027027026,18,1,0
Good,71,55,3,30,20,,100,Unknown,7,8,14,4,45,Unknown,noInqueryMade,40,6,3,0,91,0.21739130434782608,0.4273504273504274,-42,0,0
Bad,62,194,6,127,18,Never,95,LastYear,0,6,0,2,26,Never,OneOrTwo,3,4,None,0,50,1.0869565217391304,0.23201856148491878,-42,0,0
Bad,79,335,5,106,45,,100,Unknown,7,8,45,2,42,Never,unknown,49,4,3,3,56,0.21739130434782608,0.23201856148491878,0,0,0
Bad,61,436,4,94,20,OnceOrTwice,75,Never,4,3,24,1,67,InLast6Months,noInqueryMade,0,0,3,0,80,14.285714285714285,0.6896551724137931,17,1,0
Bad,66,102,7,52,35,Never,100,Unknown,6,8,35,2,49,Unknown,noInqueryMade,87,5,2,3,80,0.21739130434782608,0.4273504273504274,0,0,1
Good,74,191,4,66,37,,97,6-12months,6,6,26,1,57,Unknown,unknown,33,4,5OrMore,0,63,1.5625,0.4273504273504274,-42,0,0
Good,87,126,7,71,21,,100,Unknown,7,8,22,1,38,6-12months,unknown,10,2,1,0,67,0.21739130434782608,2.7027027027027026,5,0,0
Good,80,230,6,84,34,,94,LastYear,6,6,34,1,32,InLastMonth,OneOrTwo,11,5,1,0,64,1.0869565217391304,1.8181818181818181,0,0,0
Good,67,192,1,127,15,Never,68,6-12months,3,5,19,1,21,Never,OneOrTwo,18,4,None,0,83,1.5625,0.23201856148491878,22,1,0
Good,83,221,3,76,33,,100,Unknown,7,8,35,3,21,InLast6Months,noInqueryMade,7,3,2,0,29,0.21739130434782608,0.6896551724137931,6,0,0
Good,87,336,4,120,35,,100,Unknown,7,8,35,4,14,Never,OneOrTwo,3,6,None,0,47,0.21739130434782608,0.23201856148491878,0,0,0
Good,69,183,7,46,21,Never,86,LastYear,6,2,22,2,45,Never,noInqueryMade,36,1,3,0,56,1.0869565217391304,0.23201856148491878,5,1,0
Bad,74,232,18,101,10,Never,91,2years+,6,2,11,0,36,Unknown,unknown,70,2,None,1,75,0.6172839506172839,0.4273504273504274,10,0,1
Good,68,377,9,96,35,,97,Unknown,6,6,37,2,22,Never,unknown,53,10,1,5,79,0.21739130434782608,0.23201856148491878,6,0,0
Good,60,2,5,138,18,,86,InLast6Months,4,6,1,1,29,Unknown,noInqueryMade,71,5,1,2,89,0.7575757575757576,0.4273504273504274,-1700,1,1
Good,74,129,2,67,18,,89,6-12months,4,6,19,2,21,Unknown,OneOrTwo,5,2,1,0,44,1.5625,0.4273504273504274,6,1,0
Good,65,100,9,40,15,,93,6-12months,4,6,15,3,47,Never,unknown,50,3,1,0,71,1.5625,0.23201856148491878,0,0,0
Good,82,172,0,71,23,,100,Unknown,7,8,24,4,54,Never,noInqueryMade,4,4,2,0,70,0.21739130434782608,0.23201856148491878,5,0,0
Good,84,140,5,74,22,,100,Unknown,7,8,24,2,14,Never,noInqueryMade,36,1,1,0,30,0.21739130434782608,0.23201856148491878,9,0,0
Bad,58,151,12,50,9,OnceOrTwice,67,InLast6Months,4,6,9,0,44,Never,unknown,65,5,1,2,100,0.7575757575757576,0.23201856148491878,0,1,1
Bad,67,196,2,56,27,,90,6-12months,6,6,32,6,19,InLast6Months,OneOrTwo,45,8,2,2,67,1.5625,0.6896551724137931,16,0,0
Good,78,141,9,64,20,,100,Unknown,7,8,20,1,35,Unknown,unknown,48,1,3,0,75,0.21739130434782608,0.4273504273504274,0,0,0
Bad,64,62,5,42,10,,100,Unknown,7,8,10,1,0,Never,OneOrTwo,84,8,unknown,4,80,0.21739130434782608,0.23201856148491878,0,0,1
Bad,65,263,5,93,45,,96,6-12months,4,6,19,1,24,Unknown,unknown,28,10,2,3,65,1.5625,0.4273504273504274,-136,0,0
Good,61,204,13,70,34,,94,InLast6Months,4,6,34,0,26,Never,unknown,75,7,4,2,86,0.7575757575757576,0.23201856148491878,0,0,1
Bad,58,183,11,36,30,,100,Unknown,7,8,32,3,17,Unknown,UpTo10,87,10,1,5,81,0.21739130434782608,0.4273504273504274,7,0,1
Good,75,262,10,79,40,,100,Unknown,7,8,41,2,46,InLast6Months,noInqueryMade,33,6,3,0,77,0.21739130434782608,0.6896551724137931,3,0,0
Good,87,99,25,99,24,,100,Unknown,7,8,3,0,29,LastYear,unknown,11,1,1,0,38,0.21739130434782608,2.380952380952381,-700,0,0
Bad,51,402,9,137,42,3-5,74,InLast6Months,4,4,50,1,42,InLast6Months,OneOrTwo,21,3,3,0,53,0.7575757575757576,0.6896551724137931,16,1,0
Bad,62,151,19,99,5,Never,80,LastYear,6,6,6,0,80,Never,unknown,40,1,1,0,100,1.0869565217391304,0.23201856148491878,17,1,0
Bad,65,90,7,37,12,OnceOrTwice,92,2years+,6,4,14,4,38,Never,OneOrTwo,82,4,3,2,100,0.6172839506172839,0.23201856148491878,15,0,1
Bad,72,74,2,37,35,,100,Unknown,5,8,37,5,11,Never,unknown,31,7,None,2,38,0.21739130434782608,0.23201856148491878,6,0,0
Bad,65,194,6,60,3,3-5,50,LastYear,0,5,6,3,17,6-12months,unknown,5,3,unknown,0,60,1.0869565217391304,2.7027027027027026,50,1,0
Bad,76,267,5,88,33,OnceOrTwice,94,2years+,6,2,51,2,24,LastYear,unknown,3,2,None,0,21,0.6172839506172839,2.380952380952381,36,0,0
Good,84,125,15,81,13,,100,Unknown,7,8,14,0,36,Never,noInqueryMade,0,0,2,0,38,0.21739130434782608,0.23201856148491878,8,0,0
Bad,66,71,8,32,6,OnceOrTwice,86,2years+,6,2,7,1,71,InLast6Months,noInqueryMade,54,1,2,0,100,0.6172839506172839,0.6896551724137931,15,1,0
Bad,79,330,9,93,29,,100,Unknown,7,8,21,2,41,Never,OneOrTwo,26,7,1,1,69,0.21739130434782608,0.23201856148491878,-38,0,0
Bad,80,206,3,75,19,,100,Unknown,7,8,20,4,25,Never,noInqueryMade,36,4,2,1,70,0.21739130434782608,0.23201856148491878,5,0,0
Bad,65,259,3,97,19,OnceOrTwice,81,InLast6Months,3,2,21,2,43,Never,UpTo5,48,6,1,1,73,0.7575757575757576,0.23201856148491878,10,1,0
Bad,64,180,2,83,33,OnceOrTwice,78,6-12months,4,5,36,2,25,Unknown,unknown,19,4,2,1,64,1.5625,0.4273504273504274,9,1,0
Good,66,130,2,44,12,,92,InLast6Months,4,6,13,1,23,Never,noInqueryMade,32,5,1,1,70,0.7575757575757576,0.23201856148491878,8,0,0
Good,87,435,4,93,23,,100,Unknown,7,8,24,2,29,Never,unknown,3,3,1,0,50,0.21739130434782608,0.23201856148491878,5,0,0
Bad,86,269,16,97,22,,100,Unknown,7,8,22,0,32,Never,UpTo5,0,2,unknown,1,33,0.21739130434782608,0.23201856148491878,0,0,0
Bad,79,350,4,97,28,,100,Unknown,7,8,28,1,39,Never,unknown,29,1,2,1,27,0.21739130434782608,0.23201856148491878,0,0,0
Good,92,407,7,142,21,,100,Unknown,7,8,21,1,48,Unknown,unknown,0,1,1,0,33,0.21739130434782608,0.4273504273504274,0,0,0
Bad,73,420,25,150,7,,88,2years+,6,6,8,0,25,Never,unknown,76,3,unknown,2,75,0.6172839506172839,0.23201856148491878,13,1,1
Bad,72,410,2,147,7,Never,100,Unknown,6,8,10,2,38,Never,UpTo5,6,1,None,0,50,0.21739130434782608,0.23201856148491878,30,0,0
Bad,66,171,11,75,28,Never,100,Unknown,6,8,28,2,14,InLastMonth,OneOrTwo,69,6,None,3,60,0.21739130434782608,1.8181818181818181,0,0,1
Bad,78,96,1,35,12,,100,Unknown,7,8,13,1,38,Never,unknown,11,2,1,1,67,0.21739130434782608,0.23201856148491878,8,0,0
Bad,72,140,25,52,22,,100,Unknown,7,8,22,0,27,6-12months,unknown,90,7,1,5,82,0.21739130434782608,2.7027027027027026,0,0,1
Bad,60,70,8,39,10,OnceOrTwice,83,LastYear,6,5,13,1,58,Never,noInqueryMade,89,4,2,2,88,1.0869565217391304,0.23201856148491878,24,1,1
Good,85,203,8,59,15,,100,Unknown,7,8,26,2,40,Never,noInqueryMade,0,1,1,0,30,0.21739130434782608,0.23201856148491878,43,0,0
Bad,54,194,11,85,11,OnceOrTwice,43,InLast6Months,3,2,30,1,36,Unknown,unknown,55,4,None,1,83,0.7575757575757576,0.4273504273504274,64,1,1
Good,85,351,3,100,23,,100,Unknown,7,8,46,3,13,Unknown,unknown,3,4,unknown,1,50,0.21739130434782608,0.4273504273504274,50,0,0
Bad,74,39,3,16,6,,100,Unknown,7,8,6,3,33,Never,OneOrTwo,23,2,1,0,80,0.21739130434782608,0.23201856148491878,0,0,0
Bad,69,142,6,57,10,Never,67,2years+,6,4,14,2,42,Unknown,noInqueryMade,73,3,2,1,100,0.6172839506172839,0.4273504273504274,29,1,1
Bad,65,296,25,139,8,Never,89,InLast6Months,0,2,9,0,22,Never,unknown,40,5,unknown,0,100,0.7575757575757576,0.23201856148491878,12,1,0
Good,66,132,3,36,34,,100,Unknown,7,8,34,3,26,6-12months,unknown,66,10,3,5,96,0.21739130434782608,2.7027027027027026,0,0,1
Good,76,164,11,77,16,Never,88,2years+,6,5,17,1,12,Unknown,unknown,5,1,None,0,25,0.6172839506172839,0.4273504273504274,6,1,0
Bad,62,183,5,95,8,3-5,50,LastYear,6,2,14,1,29,Never,OneOrTwo,59,1,None,1,50,1.0869565217391304,0.23201856148491878,43,1,1
